Sample #	EMG_A01	EMG_A04
4636	0.029449	-0.023804
4637	0.065613	0.028229
4638	0.054169	-0.028076
4639	0.060272	0.004883
4640	0.041351	0.033875
4641	0.042419	0.029449
4642	0.025635	0.055084
4643	0.033417	0.18158
4644	0.006561	0.258026
4645	0.019379	0.121307
4646	-0.018616	-0.061646
4647	0.024109	-0.079803
4648	-0.017395	0.053406
4649	-0.020599	0.011749
4650	0.04425	-0.102386
4651	-0.031738	-0.052643
4652	0.068512	0.0383
4653	-0.021057	0.079651
4654	0.053101	0.142365
4655	0.023041	0.221863
4656	0.026398	0.040131
4657	-0.003052	-0.213318
4658	0.015411	-0.26886
4659	0.05188	-0.197449
4660	0.037537	-0.054169
4661	0.067749	-0.042725
4662	-0.016327	-0.065765
4663	0.050201	-0.115051
4664	0.040588	-0.039215
4665	0.065765	0.040894
4666	0.007477	0.034027
4667	-0.005341	0.068512
4668	-0.002136	0.001678
4669	-0.006714	-0.009308
4670	0.111084	0.009918
4671	0.036163	0.027618
4672	0.059662	0.058136
4673	0.018463	0.03418
4674	0.027008	0.07843
4675	0.027161	0.127869
4676	0.049591	0.177307
4677	-0.005188	0.186768
4678	0.052032	0.091705
4679	0.063324	-0.054474
4680	0.037384	-0.205536
4681	0.003662	-0.217743
4682	0.05127	-0.22049
4683	0.029449	-0.321198
4684	0.001221	-0.235901
4685	0.003357	-0.043945
4686	0.03006	0.163116
4687	0.047913	0.312042
4688	0.063171	0.339203
4689	0.046844	0.241699
4690	0.059967	0.135803
4691	0.045776	0.085907
4692	0.023804	0.130768
4693	0.065002	0.136108
4694	0.051117	0.086517
4695	0.037994	-0.049744
4696	0.0383	-0.099792
4697	0.023041	-0.035095
4698	0.047302	0.103302
4699	0.048523	0.274048
4700	0.057526	0.197754
4701	0.042877	0.057983
4702	-0.001526	-0.112305
4703	0.0354	-0.014496
4704	0.067291	0.043488
4705	0.037231	0.094452
4706	0.054169	0.093384
4707	0.069275	-0.002594
4708	0.080719	0.050049
4709	-0.025482	0.101776
4710	0.026245	0.195313
4711	0.014496	0.074768
4712	-0.013885	0.010071
4713	0.021973	-0.014038
4714	0.037689	0.047455
4715	0.039368	0.052338
4716	0.036926	0.068359
4717	0.03006	0.023346
